fire_year,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,county,discovery_date,cont_date
2005,Lightning,0.1,A,36.89972222,-107.29444444,NM,39,2453572.5,2453573.5
2005,Lightning,0.1,A,36.9,-107.32805556,NM,39,2453572.5,2453573.5
2005,Lightning,0.1,A,36.91833333,-107.35277778,NM,39,2453573.5,2453574.5
2005,Railroad,0.1,A,48.35194444,-115.3625,MT,53,2453578.5,2453578.5
2005,Lightning,0.1,A,36.86388889,-107.265,NM,39,2453573.5,2453573.5
2005,Campfire,0.1,A,48.40833333,-115.55833333,MT,53,2453579.5,2453579.5
2005,Smoking,0.1,A,41.26416667,-111.79583333,UT,57,2453569.5,2453569.5
2005,Miscellaneous,0.1,A,33.62138889,-111.20305556,AZ,13,2453554.5,2453554.5
2005,Campfire,0.25,A,48.05944444,-90.3375,MN,31,2453565.5,2453566.5
2005,Lightning,0.1,A,36.93472222,-107.34111111,NM,39,2453573.5,2453574.5
2005,Miscellaneous,2.0,B,33.83972222,-109.115,AZ,1,2453476.5,2453476.5
2005,Miscellaneous,5.5,B,34.40527778,-111.0275,AZ,17,2453513.5,2453515.5
2005,"Debris Burning",0.1,A,47.7675,-91.9475,MN,137,2453470.5,2453470.5
2005,Lightning,0.1,A,33.83666667,-109.36083333,AZ,1,2453517.5,2453517.5
2005,Campfire,0.3,B,35.63833333,-118.28111111,CA,,2453518.5,2453518.5
2005,"Debris Burning",0.2,A,47.94027778,-91.85166667,MN,137,2453481.5,2453481.5
2005,Miscellaneous,2.5,B,38.89111111,-105.43194444,CO,,2453534.5,2453534.5
2005,Children,0.1,A,47.89833333,-91.86861111,MN,137,2453481.5,2453481.5
2005,Campfire,0.25,A,35.64694444,-118.46361111,CA,,2453519.5,2453519.5
2005,Arson,0.1,A,47.89805556,-91.87111111,MN,137,2453493.5,2453493.5
2005,Lightning,7.2,B,34.54166667,-110.9025,AZ,5,2453519.5,2453519.5
2005,Campfire,0.25,A,35.66305556,-118.44361111,CA,,2453519.5,2453519.5
2005,Miscellaneous,1.1,B,35.70222222,-118.45361111,CA,,2453519.5,2453519.5
2005,Lightning,0.25,A,38.65861111,-119.75138889,CA,3,2453579.5,2453579.5
2005,Campfire,0.25,A,47.91805556,-91.90194444,MN,137,2453521.5,2453521.5
2005,Miscellaneous,0.1,A,35.67861111,-118.40944444,CA,,2453523.5,2453523.5
2005,Lightning,8.7,B,34.53055556,-111.01277778,AZ,5,2453520.5,2453520.5
2005,Lightning,0.1,A,33.70861111,-109.47361111,AZ,1,2453517.5,2453518.5
2005,Miscellaneous,0.25,A,35.64972222,-118.41638889,CA,,2453523.5,2453523.5
2005,Lightning,0.1,A,38.67055556,-119.76722222,CA,3,2453579.5,2453579.5
2005,Campfire,0.1,A,35.695,-118.46027778,CA,,2453526.5,2453526.5
2005,Lightning,0.1,A,33.71444444,-109.43944444,AZ,11,2453517.5,2453518.5
2005,Campfire,2.5,B,35.64138889,-118.33666667,CA,,2453526.5,2453526.5
2005,Lightning,0.1,A,33.81555556,-109.32138889,AZ,1,2453517.5,2453522.5
2005,Lightning,0.1,A,38.35,-119.35,CA,51,2453546.5,2453546.5
2005,Lightning,0.1,A,38.29888889,-119.56527778,CA,51,2453571.5,2453571.5
2005,Miscellaneous,2.1,B,35.68166667,-118.45888889,CA,,2453527.5,2453527.5
2005,Campfire,0.1,A,38.05444444,-119.25194444,CA,51,2453563.5,2453563.5
2005,Lightning,0.1,A,33.66,-109.355,AZ,11,2453518.5,2453518.5
2005,Miscellaneous,0.1,A,35.45805556,-118.78305556,CA,,2453534.5,2453534.5
2005,Lightning,89.0,C,38.57361111,-119.55472222,CA,51,2453572.5,2453575.5
2005,Lightning,0.1,A,33.63361111,-109.47,AZ,11,2453518.5,2453519.5
2005,Smoking,0.1,A,35.46444444,-118.75638889,CA,,2453563.5,2453563.5
2005,Lightning,0.1,A,38.35111111,-119.32722222,CA,51,2453546.5,2453546.5
2005,Lightning,0.1,A,38.35027778,-119.33083333,CA,51,2453546.5,2453546.5
2005,Lightning,0.1,A,38.34444444,-119.33333333,CA,51,2453546.5,2453546.5
2005,Lightning,0.1,A,38.65555556,-119.38888889,NV,5,2453546.5,2453546.5
2005,Miscellaneous,0.1,A,39.11583333,-119.8875,NV,510,2453541.5,2453541.5
2005,Miscellaneous,0.25,A,39.22027778,-119.84972222,NV,31,2453544.5,2453545.5
2005,Miscellaneous,0.5,B,39.11055556,-119.85972222,NV,510,2453545.5,2453545.5
2005,Arson,0.23,A,47.54277778,-94.59638889,MN,7,2453457.5,2453457.5
2005,Arson,1.06,B,47.54138889,-94.57361111,MN,7,2453457.5,2453457.5
2005,Railroad,0.37,B,47.59888889,-94.53916667,MN,7,2453457.5,2453457.5
2005,Arson,0.24,A,47.53527778,-94.50027778,MN,7,2453480.5,2453480.5
2005,Arson,1.2,B,47.5625,-94.64833333,MN,7,2453496.5,2453497.5
2005,Lightning,0.1,A,38.1975,-118.73027778,NV,21,2453579.5,2453580.5
2005,Lightning,0.1,A,38.17333333,-118.71388889,NV,21,2453580.5,2453580.5
2005,Lightning,0.1,A,33.76555556,-109.175,AZ,11,2453519.5,2453519.5
2005,Lightning,6.0,B,34.45555556,-110.75805556,AZ,5,2453520.5,2453520.5
2005,"Debris Burning",0.1,A,38.64444444,-119.44722222,NV,5,2453562.5,2453562.5
2005,Lightning,0.1,A,33.81861111,-109.29833333,AZ,1,2453519.5,2453519.5
2005,"Debris Burning",0.1,A,38.64444444,-119.44722222,NV,5,2453575.5,2453575.5
2005,Lightning,0.5,B,34.20055556,-110.04,AZ,17,2453520.5,2453520.5
2005,Lightning,0.25,A,38.65555556,-119.39388889,NV,5,2453571.5,2453572.5
2005,Campfire,0.75,B,33.72777778,-109.35472222,AZ,11,2453524.5,2453524.5
2005,Lightning,0.1,A,34.49833333,-110.63444444,AZ,17,2453533.5,2453533.5
2005,Arson,3.1,B,47.3175,-93.93388889,MN,61,2453463.5,2453463.5
2005,Campfire,0.1,A,34.40916667,-111.00888889,AZ,5,2453533.5,2453533.5
2005,Campfire,0.1,A,34.21111111,-109.92777778,AZ,17,2453538.5,2453538.5
2005,Campfire,0.4,B,34.00111111,-109.25472222,AZ,1,2453499.5,2453499.5
2005,Arson,1.03,B,47.35444444,-94.17194444,MN,21,2453466.5,2453466.5
2005,Campfire,0.1,A,34.31777778,-110.16916667,AZ,17,2453539.5,2453539.5
2005,Lightning,0.2,A,34.15083333,-109.91,AZ,17,2453541.5,2453541.5
2005,Arson,0.41,B,47.35444444,-94.17222222,MN,21,2453466.5,2453466.5
2005,Lightning,0.5,B,34.55888889,-110.96694444,AZ,5,2453542.5,2453542.5
2005,Arson,0.25,A,47.32638889,-93.93694444,MN,61,2453473.5,2453473.5
2005,Lightning,3.8,B,34.45,-110.75,AZ,17,2453545.5,2453546.5
2005,"Debris Burning",1.5,B,47.25305556,-93.91027778,MN,21,2453473.5,2453473.5
2005,Lightning,0.8,B,34.10416667,-109.49527778,AZ,1,2453516.5,2453516.5
2005,Arson,12.0,C,47.48166667,-93.67138889,MN,61,2453477.5,2453477.5
2005,Lightning,0.2,A,34.16166667,-109.93916667,AZ,17,2453546.5,2453546.5
2005,Lightning,0.1,A,33.83388889,-109.385,AZ,1,2453518.5,2453519.5
2005,Lightning,0.25,A,34.16416667,-109.92861111,AZ,17,2453546.5,2453546.5
2005,Campfire,0.8,B,34.33583333,-110.835,AZ,5,2453548.5,2453548.5
2005,Miscellaneous,0.1,A,47.54972222,-93.97694444,MN,61,2453481.5,2453481.5
2005,Miscellaneous,0.5,B,39.61472222,-119.99722222,CA,91,2453566.5,2453566.5
2005,Arson,0.1,A,47.55472222,-93.98472222,MN,61,2453485.5,2453485.5
2005,Arson,2.0,B,34.21166667,-110.08472222,AZ,17,2453548.5,2453549.5
2005,Campfire,0.1,A,34.08694444,-109.53333333,AZ,1,2453520.5,2453520.5
2005,Lightning,0.1,A,33.82888889,-109.46333333,AZ,1,2453543.5,2453543.5
2005,Campfire,0.3,B,34.40944444,-111.00833333,AZ,5,2453552.5,2453552.5
2005,Smoking,0.1,A,34.41444444,-111.00972222,AZ,5,2453553.5,2453553.5
2005,Campfire,0.1,A,34.40138889,-110.99611111,AZ,5,2453553.5,2453553.5
2005,Miscellaneous,0.1,A,34.20805556,-110.07555556,AZ,17,2453553.5,2453553.5
2005,Arson,3.0,B,33.78611111,-96.15,TX,,2453394.5,2453394.5
2005,"Debris Burning",55.0,C,31.3125,-94.27083333,TX,,2453395.5,2453395.5
2005,Campfire,2.0,B,33.34583333,-97.59583333,TX,,2453441.5,2453442.5
2005,Smoking,0.3,B,31.38666667,-95.15055556,TX,,2453463.5,2453463.5
2005,Lightning,55.0,C,31.35416667,-95.08527778,TX,,2453467.5,2453468.5
2005,Lightning,0.1,A,43.56,-111.12916667,ID,81,2453578.5,2453578.5
2005,Arson,2.0,B,31.15444444,-93.62388889,TX,,2453478.5,2453478.5
2005,Arson,1.0,B,31.15888889,-93.62083333,TX,,2453478.5,2453478.5
2005,Lightning,0.1,A,33.91944444,-109.41277778,AZ,1,2453544.5,2453544.5
2005,Arson,0.8,B,31.15972222,-93.61888889,TX,,2453478.5,2453478.5
2005,Arson,5.0,B,31.14583333,-93.61527778,TX,,2453478.5,2453478.5
2005,Arson,0.1,A,31.16305556,-93.61694444,TX,,2453478.5,2453478.5
2005,Lightning,0.1,A,33.86305556,-109.41805556,AZ,1,2453544.5,2453544.5
2005,Arson,0.5,B,31.16416667,-93.61527778,TX,,2453478.5,2453478.5
2005,Miscellaneous,0.1,A,34.38638889,-111.01833333,AZ,5,2453554.5,2453554.5
2005,Lightning,0.1,A,33.92,-109.4125,AZ,1,2453545.5,2453545.5
2005,Arson,16.0,C,31.43666667,-95.15055556,TX,,2453510.5,2453510.5
2005,Lightning,0.1,A,34.05555556,-109.23888889,AZ,1,2453546.5,2453547.5
2005,"Equipment Use",90.0,C,33.33055556,-97.7625,TX,,2453548.5,2453558.5
2005,Arson,3.0,B,33.355,-97.7675,TX,,2453554.5,2453554.5
2005,Lightning,1.5,B,34.04527778,-109.47583333,AZ,1,2453547.5,2453547.5
2005,Arson,40.0,C,33.34444444,-97.65222222,TX,,2453555.5,2453558.5
2005,Arson,15.0,C,33.32361111,-97.64583333,TX,,2453555.5,2453556.5
2005,Campfire,0.1,A,34.40694444,-111.00777778,AZ,5,2453555.5,2453555.5
2005,Campfire,0.1,A,43.82,-110.96527778,WY,39,2453519.5,2453519.5
2005,Campfire,0.1,A,34.40027778,-111.01,AZ,5,2453556.5,2453556.5
2005,Lightning,0.2,A,33.80138889,-109.49277778,AZ,1,2453547.5,2453547.5
2005,Lightning,0.3,B,34.47722222,-110.96222222,AZ,5,2453566.5,2453566.5
